contestant,season,actual_placement,rule,sample_id,posterior_placement
Billy Ray Cyrus,4,5,percent_save,18,9
Billy Ray Cyrus,4,5,percent_save,19,10
Billy Ray Cyrus,4,5,percent_save,20,10
Billy Ray Cyrus,4,5,percent_save,21,9
Billy Ray Cyrus,4,5,percent_save,22,8
Billy Ray Cyrus,4,5,percent_save,23,10
Billy Ray Cyrus,4,5,percent_save,24,9
Billy Ray Cyrus,4,5,percent_save,25,10
Billy Ray Cyrus,4,5,percent_save,26,9
Billy Ray Cyrus,4,5,percent_save,27,10
Billy Ray Cyrus,4,5,percent_save,28,9
Billy Ray Cyrus,4,5,percent_save,29,9
Billy Ray Cyrus,4,5,percent_save,30,9
Billy Ray Cyrus,4,5,percent_save,31,10
Billy Ray Cyrus,4,5,percent_save,32,9
Billy Ray Cyrus,4,5,percent_save,33,9
Billy Ray Cyrus,4,5,percent_save,34,9
Billy Ray Cyrus,4,5,percent_save,35,10
Billy Ray Cyrus,4,5,percent_save,36,9
Billy Ray Cyrus,4,5,percent_save,37,10
Billy Ray Cyrus,4,5,percent_save,38,9
Billy Ray Cyrus,4,5,percent_save,39,9
Billy Ray Cyrus,4,5,percent_save,40,9
Billy Ray Cyrus,4,5,percent_save,41,9
Billy Ray Cyrus,4,5,percent_save,42,10
Billy Ray Cyrus,4,5,percent_save,43,9
Billy Ray Cyrus,4,5,percent_save,44,9
Billy Ray Cyrus,4,5,percent_save,45,10
Billy Ray Cyrus,4,5,percent_save,46,9
Billy Ray Cyrus,4,5,percent_save,47,9
Billy Ray Cyrus,4,5,percent_save,48,10
Billy Ray Cyrus,4,5,percent_save,49,9
Billy Ray Cyrus,4,5,percent_save,50,9
Billy Ray Cyrus,4,5,percent_save,51,10
Billy Ray Cyrus,4,5,percent_save,52,9
Billy Ray Cyrus,4,5,percent_save,53,9
Billy Ray Cyrus,4,5,percent_save,54,9
Billy Ray Cyrus,4,5,percent_save,55,10
Billy Ray Cyrus,4,5,percent_save,56,9
Billy Ray Cyrus,4,5,percent_save,57,9
Billy Ray Cyrus,4,5,percent_save,58,10
Billy Ray Cyrus,4,5,percent_save,59,10
Billy Ray Cyrus,4,5,percent_save,60,9
Billy Ray Cyrus,4,5,percent_save,61,9
Billy Ray Cyrus,4,5,percent_save,62,9
Billy Ray Cyrus,4,5,percent_save,63,10
Billy Ray Cyrus,4,5,percent_save,64,8
Billy Ray Cyrus,4,5,percent_save,65,9
Billy Ray Cyrus,4,5,percent_save,66,10
Billy Ray Cyrus,4,5,percent_save,67,10
Billy Ray Cyrus,4,5,percent_save,68,9
Billy Ray Cyrus,4,5,percent_save,69,10
Billy Ray Cyrus,4,5,percent_save,70,9
Billy Ray Cyrus,4,5,percent_save,71,10
Billy Ray Cyrus,4,5,percent_save,72,9
Billy Ray Cyrus,4,5,percent_save,73,9
Billy Ray Cyrus,4,5,percent_save,74,10
Billy Ray Cyrus,4,5,percent_save,75,9
Billy Ray Cyrus,4,5,percent_save,76,9
Billy Ray Cyrus,4,5,percent_save,77,10
Billy Ray Cyrus,4,5,percent_save,78,10
Billy Ray Cyrus,4,5,percent_save,79,9
Billy Ray Cyrus,4,5,percent_save,80,10
Billy Ray Cyrus,4,5,percent_save,81,9
Billy Ray Cyrus,4,5,percent_save,82,9
Billy Ray Cyrus,4,5,percent_save,83,9
Billy Ray Cyrus,4,5,percent_save,84,9
Billy Ray Cyrus,4,5,percent_save,85,10
Billy Ray Cyrus,4,5,percent_save,86,9
Billy Ray Cyrus,4,5,percent_save,87,9
Billy Ray Cyrus,4,5,percent_save,88,9
Billy Ray Cyrus,4,5,percent_save,89,10
Billy Ray Cyrus,4,5,percent_save,90,9
Billy Ray Cyrus,4,5,percent_save,91,9
Billy Ray Cyrus,4,5,percent_save,92,9
Billy Ray Cyrus,4,5,percent_save,93,9
Billy Ray Cyrus,4,5,percent_save,94,8
Billy Ray Cyrus,4,5,percent_save,95,10
Billy Ray Cyrus,4,5,percent_save,96,10
Billy Ray Cyrus,4,5,percent_save,97,9
Billy Ray Cyrus,4,5,percent_save,98,10
Billy Ray Cyrus,4,5,percent_save,99,10
Billy Ray Cyrus,4,5,rank,0,5
Billy Ray Cyrus,4,5,rank,1,6
Billy Ray Cyrus,4,5,rank,2,5
Billy Ray Cyrus,4,5,rank,3,6
Billy Ray Cyrus,4,5,rank,4,5
Billy Ray Cyrus,4,5,rank,5,6
Billy Ray Cyrus,4,5,rank,6,5
Billy Ray Cyrus,4,5,rank,7,4
Billy Ray Cyrus,4,5,rank,8,6
Billy Ray Cyrus,4,5,rank,9,5
Billy Ray Cyrus,4,5,rank,10,5
Billy Ray Cyrus,4,5,rank,11,6
Billy Ray Cyrus,4,5,rank,12,6
Billy Ray Cyrus,4,5,rank,13,5
Billy Ray Cyrus,4,5,rank,14,5
Billy Ray Cyrus,4,5,rank,15,5
Billy Ray Cyrus,4,5,rank,16,5
Billy Ray Cyrus,4,5,rank,17,5
Billy Ray Cyrus,4,5,rank,18,5
Billy Ray Cyrus,4,5,rank,19,6
Billy Ray Cyrus,4,5,rank,20,6
Billy Ray Cyrus,4,5,rank,21,6
Billy Ray Cyrus,4,5,rank,22,5
Billy Ray Cyrus,4,5,rank,23,5
Billy Ray Cyrus,4,5,rank,24,4
Billy Ray Cyrus,4,5,rank,25,5
Billy Ray Cyrus,4,5,rank,26,5
Billy Ray Cyrus,4,5,rank,27,6
Billy Ray Cyrus,4,5,rank,28,5
Billy Ray Cyrus,4,5,rank,29,5
Billy Ray Cyrus,4,5,rank,30,5
Billy Ray Cyrus,4,5,rank,31,6
Billy Ray Cyrus,4,5,rank,32,5
Billy Ray Cyrus,4,5,rank,33,5
Billy Ray Cyrus,4,5,rank,34,5
Billy Ray Cyrus,4,5,rank,35,6
Billy Ray Cyrus,4,5,rank,36,4
Billy Ray Cyrus,4,5,rank,37,6
Billy Ray Cyrus,4,5,rank,38,6
Billy Ray Cyrus,4,5,rank,39,5
Billy Ray Cyrus,4,5,rank,40,5
Billy Ray Cyrus,4,5,rank,41,7
Billy Ray Cyrus,4,5,rank,42,5
Billy Ray Cyrus,4,5,rank,43,5
Billy Ray Cyrus,4,5,rank,44,6
Billy Ray Cyrus,4,5,rank,45,6
Billy Ray Cyrus,4,5,rank,46,7
Billy Ray Cyrus,4,5,rank,47,6
Billy Ray Cyrus,4,5,rank,48,5
Billy Ray Cyrus,4,5,rank,49,5
Billy Ray Cyrus,4,5,rank,50,6
Billy Ray Cyrus,4,5,rank,51,5
Billy Ray Cyrus,4,5,rank,52,5
Billy Ray Cyrus,4,5,rank,53,6
Billy Ray Cyrus,4,5,rank,54,5
Billy Ray Cyrus,4,5,rank,55,5
Billy Ray Cyrus,4,5,rank,56,4
Billy Ray Cyrus,4,5,rank,57,5
Billy Ray Cyrus,4,5,rank,58,4
Billy Ray Cyrus,4,5,rank,59,5
Billy Ray Cyrus,4,5,rank,60,5
Billy Ray Cyrus,4,5,rank,61,5
Billy Ray Cyrus,4,5,rank,62,6
Billy Ray Cyrus,4,5,rank,63,5
Billy Ray Cyrus,4,5,rank,64,7
Billy Ray Cyrus,4,5,rank,65,5
Billy Ray Cyrus,4,5,rank,66,5
Billy Ray Cyrus,4,5,rank,67,6
Billy Ray Cyrus,4,5,rank,68,5
Billy Ray Cyrus,4,5,rank,69,7
Billy Ray Cyrus,4,5,rank,70,4
Billy Ray Cyrus,4,5,rank,71,7
Billy Ray Cyrus,4,5,rank,72,4
Billy Ray Cyrus,4,5,rank,73,6
Billy Ray Cyrus,4,5,rank,74,5
Billy Ray Cyrus,4,5,rank,75,7
Billy Ray Cyrus,4,5,rank,76,4
Billy Ray Cyrus,4,5,rank,77,5
Billy Ray Cyrus,4,5,rank,78,7
Billy Ray Cyrus,4,5,rank,79,5
Billy Ray Cyrus,4,5,rank,80,5
Billy Ray Cyrus,4,5,rank,81,6
Billy Ray Cyrus,4,5,rank,82,5
Billy Ray Cyrus,4,5,rank,83,5
Billy Ray Cyrus,4,5,rank,84,5
Billy Ray Cyrus,4,5,rank,85,6
Billy Ray Cyrus,4,5,rank,86,4
Billy Ray Cyrus,4,5,rank,87,5
Billy Ray Cyrus,4,5,rank,88,6
Billy Ray Cyrus,4,5,rank,89,6
Billy Ray Cyrus,4,5,rank,90,5
Billy Ray Cyrus,4,5,rank,91,5
Billy Ray Cyrus,4,5,rank,92,5
Billy Ray Cyrus,4,5,rank,93,5
Billy Ray Cyrus,4,5,rank,94,5
Billy Ray Cyrus,4,5,rank,95,5
Billy Ray Cyrus,4,5,rank,96,5
Billy Ray Cyrus,4,5,rank,97,4
Billy Ray Cyrus,4,5,rank,98,7
Billy Ray Cyrus,4,5,rank,99,7
Billy Ray Cyrus,4,5,rank_save,0,8
Billy Ray Cyrus,4,5,rank_save,1,8
Billy Ray Cyrus,4,5,rank_save,2,8
Billy Ray Cyrus,4,5,rank_save,3,8
Billy Ray Cyrus,4,5,rank_save,4,8
Billy Ray Cyrus,4,5,rank_save,5,8
Billy Ray Cyrus,4,5,rank_save,6,8
Billy Ray Cyrus,4,5,rank_save,7,8
Billy Ray Cyrus,4,5,rank_save,8,8
Billy Ray Cyrus,4,5,rank_save,9,9
Billy Ray Cyrus,4,5,rank_save,10,7
Billy Ray Cyrus,4,5,rank_save,11,9
Billy Ray Cyrus,4,5,rank_save,12,8
Billy Ray Cyrus,4,5,rank_save,13,8
Billy Ray Cyrus,4,5,rank_save,14,9
Billy Ray Cyrus,4,5,rank_save,15,9
Billy Ray Cyrus,4,5,rank_save,16,7
Billy Ray Cyrus,4,5,rank_save,17,8
Billy Ray Cyrus,4,5,rank_save,18,9
Billy Ray Cyrus,4,5,rank_save,19,9
Billy Ray Cyrus,4,5,rank_save,20,8
Billy Ray Cyrus,4,5,rank_save,21,8
Billy Ray Cyrus,4,5,rank_save,22,8
Billy Ray Cyrus,4,5,rank_save,23,8
Billy Ray Cyrus,4,5,rank_save,24,8
Billy Ray Cyrus,4,5,rank_save,25,8
Billy Ray Cyrus,4,5,rank_save,26,8
Billy Ray Cyrus,4,5,rank_save,27,9
Billy Ray Cyrus,4,5,rank_save,28,7
Billy Ray Cyrus,4,5,rank_save,29,8
Billy Ray Cyrus,4,5,rank_save,30,9
Billy Ray Cyrus,4,5,rank_save,31,9
Billy Ray Cyrus,4,5,rank_save,32,8
Billy Ray Cyrus,4,5,rank_save,33,8
Billy Ray Cyrus,4,5,rank_save,34,8
Billy Ray Cyrus,4,5,rank_save,35,8
Billy Ray Cyrus,4,5,rank_save,36,8
Billy Ray Cyrus,4,5,rank_save,37,8
Billy Ray Cyrus,4,5,rank_save,38,8
Billy Ray Cyrus,4,5,rank_save,39,8
Billy Ray Cyrus,4,5,rank_save,40,7
Billy Ray Cyrus,4,5,rank_save,41,8
Billy Ray Cyrus,4,5,rank_save,42,8
Billy Ray Cyrus,4,5,rank_save,43,8
Billy Ray Cyrus,4,5,rank_save,44,8
Billy Ray Cyrus,4,5,rank_save,45,9
Billy Ray Cyrus,4,5,rank_save,46,8
Billy Ray Cyrus,4,5,rank_save,47,8
Billy Ray Cyrus,4,5,rank_save,48,9
Billy Ray Cyrus,4,5,rank_save,49,8
Billy Ray Cyrus,4,5,rank_save,50,8
Billy Ray Cyrus,4,5,rank_save,51,8
Billy Ray Cyrus,4,5,rank_save,52,8
Billy Ray Cyrus,4,5,rank_save,53,9
Billy Ray Cyrus,4,5,rank_save,54,8
Billy Ray Cyrus,4,5,rank_save,55,8
Billy Ray Cyrus,4,5,rank_save,56,8
Billy Ray Cyrus,4,5,rank_save,57,8
Billy Ray Cyrus,4,5,rank_save,58,8
Billy Ray Cyrus,4,5,rank_save,59,8
Billy Ray Cyrus,4,5,rank_save,60,8
Billy Ray Cyrus,4,5,rank_save,61,10
Billy Ray Cyrus,4,5,rank_save,62,8
Billy Ray Cyrus,4,5,rank_save,63,8
Billy Ray Cyrus,4,5,rank_save,64,8
Billy Ray Cyrus,4,5,rank_save,65,8
Billy Ray Cyrus,4,5,rank_save,66,8
Billy Ray Cyrus,4,5,rank_save,67,8
Billy Ray Cyrus,4,5,rank_save,68,8
Billy Ray Cyrus,4,5,rank_save,69,8
Billy Ray Cyrus,4,5,rank_save,70,8
Billy Ray Cyrus,4,5,rank_save,71,9
Billy Ray Cyrus,4,5,rank_save,72,8
Billy Ray Cyrus,4,5,rank_save,73,8
Billy Ray Cyrus,4,5,rank_save,74,8
Billy Ray Cyrus,4,5,rank_save,75,10
Billy Ray Cyrus,4,5,rank_save,76,8
Billy Ray Cyrus,4,5,rank_save,77,8
Billy Ray Cyrus,4,5,rank_save,78,10
Billy Ray Cyrus,4,5,rank_save,79,9
Billy Ray Cyrus,4,5,rank_save,80,9
Billy Ray Cyrus,4,5,rank_save,81,8
Billy Ray Cyrus,4,5,rank_save,82,8
Billy Ray Cyrus,4,5,rank_save,83,8
Billy Ray Cyrus,4,5,rank_save,84,9
Billy Ray Cyrus,4,5,rank_save,85,8
Billy Ray Cyrus,4,5,rank_save,86,8
Billy Ray Cyrus,4,5,rank_save,87,8
Billy Ray Cyrus,4,5,rank_save,88,9
Billy Ray Cyrus,4,5,rank_save,89,8
Billy Ray Cyrus,4,5,rank_save,90,8
Billy Ray Cyrus,4,5,rank_save,91,8
Billy Ray Cyrus,4,5,rank_save,92,8
Billy Ray Cyrus,4,5,rank_save,93,8
Billy Ray Cyrus,4,5,rank_save,94,8
Billy Ray Cyrus,4,5,rank_save,95,8
Billy Ray Cyrus,4,5,rank_save,96,8
Billy Ray Cyrus,4,5,rank_save,97,8
Billy Ray Cyrus,4,5,rank_save,98,8
Billy Ray Cyrus,4,5,rank_save,99,8
Bobby Bones,27,1,percent,0,5
Bobby Bones,27,1,percent,1,6
Bobby Bones,27,1,percent,2,4
Bobby Bones,27,1,percent,3,6
Bobby Bones,27,1,percent,4,6
Bobby Bones,27,1,percent,5,5
Bobby Bones,27,1,percent,6,8
Bobby Bones,27,1,percent,7,6
Bobby Bones,27,1,percent,8,6
Bobby Bones,27,1,percent,9,6
Bobby Bones,27,1,percent,10,6
Bobby Bones,27,1,percent,11,4
Bobby Bones,27,1,percent,12,6
Bobby Bones,27,1,percent,13,7
Bobby Bones,27,1,percent,14,6
Bobby Bones,27,1,percent,15,6
Bobby Bones,27,1,percent,16,6
Bobby Bones,27,1,percent,17,7
Bobby Bones,27,1,percent,18,6
Bobby Bones,27,1,percent,19,6
Bobby Bones,27,1,percent,20,6
Bobby Bones,27,1,percent,21,6
Bobby Bones,27,1,percent,22,7
Bobby Bones,27,1,percent,23,6
Bobby Bones,27,1,percent,24,6
Bobby Bones,27,1,percent,25,7
Bobby Bones,27,1,percent,26,7
Bobby Bones,27,1,percent,27,8
Bobby Bones,27,1,percent,28,6
Bobby Bones,27,1,percent,29,6
Bobby Bones,27,1,percent,30,6
Bobby Bones,27,1,percent,31,6
Bobby Bones,27,1,percent,32,5
Bobby Bones,27,1,percent,33,6
Bobby Bones,27,1,percent,34,6
Bobby Bones,27,1,percent,35,5
Bobby Bones,27,1,percent,36,7
Bobby Bones,27,1,percent,37,6
Bobby Bones,27,1,percent,38,7
Bobby Bones,27,1,percent,39,4
Bobby Bones,27,1,percent,40,6
Bobby Bones,27,1,percent,41,6
Bobby Bones,27,1,percent,42,6
Bobby Bones,27,1,percent,43,6
Bobby Bones,27,1,percent,44,6
Bobby Bones,27,1,percent,45,5
Bobby Bones,27,1,percent,46,6
Bobby Bones,27,1,percent,47,6
Bobby Bones,27,1,percent,48,6
Bobby Bones,27,1,percent,49,7
Bobby Bones,27,1,percent,50,7
Bobby Bones,27,1,percent,51,6
Bobby Bones,27,1,percent,52,6
Bobby Bones,27,1,percent,53,6
Bobby Bones,27,1,percent,54,7
Bobby Bones,27,1,percent,55,6
Bobby Bones,27,1,percent,56,6
Bobby Bones,27,1,percent,57,7
Bobby Bones,27,1,percent,58,6
Bobby Bones,27,1,percent,59,7
Bobby Bones,27,1,percent,60,6
Bobby Bones,27,1,percent,61,6
Bobby Bones,27,1,percent,62,6
Bobby Bones,27,1,percent,63,8
Bobby Bones,27,1,percent,64,7
Bobby Bones,27,1,percent,65,6
Bobby Bones,27,1,percent,66,6
Bobby Bones,27,1,percent,67,6
Bobby Bones,27,1,percent,68,7
Bobby Bones,27,1,percent,69,6
Bobby Bones,27,1,percent,70,6
Bobby Bones,27,1,percent,71,5
Bobby Bones,27,1,percent,72,7
Bobby Bones,27,1,percent,73,6
Bobby Bones,27,1,percent,74,6
Bobby Bones,27,1,percent,75,4
Bobby Bones,27,1,percent,76,7
Bobby Bones,27,1,percent,77,4
Bobby Bones,27,1,percent,78,6
Bobby Bones,27,1,percent,79,8
Bobby Bones,27,1,percent,80,6
Bobby Bones,27,1,percent,81,6
Bobby Bones,27,1,percent,82,6
Bobby Bones,27,1,percent,83,7
Bobby Bones,27,1,percent,84,6
Bobby Bones,27,1,percent,85,7
Bobby Bones,27,1,percent,86,5
Bobby Bones,27,1,percent,87,6
Bobby Bones,27,1,percent,88,6
Bobby Bones,27,1,percent,89,7
Bobby Bones,27,1,percent,90,6
Bobby Bones,27,1,percent,91,7
Bobby Bones,27,1,percent,92,6
Bobby Bones,27,1,percent,93,6
Bobby Bones,27,1,percent,94,5
Bobby Bones,27,1,percent,95,7
Bobby Bones,27,1,percent,96,5
Bobby Bones,27,1,percent,97,6
Bobby Bones,27,1,percent,98,6
Bobby Bones,27,1,percent,99,7
Bobby Bones,27,1,percent_save,0,7
Bobby Bones,27,1,percent_save,1,8
Bobby Bones,27,1,percent_save,2,9
Bobby Bones,27,1,percent_save,3,8
Bobby Bones,27,1,percent_save,4,8
Bobby Bones,27,1,percent_save,5,8
Bobby Bones,27,1,percent_save,6,8
Bobby Bones,27,1,percent_save,7,6
Bobby Bones,27,1,percent_save,8,8
Bobby Bones,27,1,percent_save,9,8
Bobby Bones,27,1,percent_save,10,8
Bobby Bones,27,1,percent_save,11,8
Bobby Bones,27,1,percent_save,12,8
Bobby Bones,27,1,percent_save,13,7
Bobby Bones,27,1,percent_save,14,8
Bobby Bones,27,1,percent_save,15,9
Bobby Bones,27,1,percent_save,16,8
Bobby Bones,27,1,percent_save,17,6
Bobby Bones,27,1,percent_save,18,8
Bobby Bones,27,1,percent_save,19,8
Bobby Bones,27,1,percent_save,20,8
Bobby Bones,27,1,percent_save,21,8
Bobby Bones,27,1,percent_save,22,7
Bobby Bones,27,1,percent_save,23,8
Bobby Bones,27,1,percent_save,24,8
Bobby Bones,27,1,percent_save,25,8
Bobby Bones,27,1,percent_save,26,8
Bobby Bones,27,1,percent_save,27,7
Bobby Bones,27,1,percent_save,28,9
Bobby Bones,27,1,percent_save,29,9
Bobby Bones,27,1,percent_save,30,9
Bobby Bones,27,1,percent_save,31,9
Bobby Bones,27,1,percent_save,32,9
Bobby Bones,27,1,percent_save,33,8
Bobby Bones,27,1,percent_save,34,8
Bobby Bones,27,1,percent_save,35,8
Bobby Bones,27,1,percent_save,36,8
Bobby Bones,27,1,percent_save,37,8
Bobby Bones,27,1,percent_save,38,8
Bobby Bones,27,1,percent_save,39,7
Bobby Bones,27,1,percent_save,40,8
Bobby Bones,27,1,percent_save,41,9
Bobby Bones,27,1,percent_save,42,8
Bobby Bones,27,1,percent_save,43,8
Bobby Bones,27,1,percent_save,44,8
Bobby Bones,27,1,percent_save,45,8
Bobby Bones,27,1,percent_save,46,9
Bobby Bones,27,1,percent_save,47,8
Bobby Bones,27,1,percent_save,48,9
Bobby Bones,27,1,percent_save,49,8
Bobby Bones,27,1,percent_save,50,8
Bobby Bones,27,1,percent_save,51,8
Bobby Bones,27,1,percent_save,52,8
Bobby Bones,27,1,percent_save,53,8
Bobby Bones,27,1,percent_save,54,8
Bobby Bones,27,1,percent_save,55,8
Bobby Bones,27,1,percent_save,56,9
Bobby Bones,27,1,percent_save,57,7
Bobby Bones,27,1,percent_save,58,9
Bobby Bones,27,1,percent_save,59,8
Bobby Bones,27,1,percent_save,60,8
Bobby Bones,27,1,percent_save,61,6
Bobby Bones,27,1,percent_save,62,8
Bobby Bones,27,1,percent_save,63,8
Bobby Bones,27,1,percent_save,64,7
Bobby Bones,27,1,percent_save,65,8
Bobby Bones,27,1,percent_save,66,9
Bobby Bones,27,1,percent_save,67,7
Bobby Bones,27,1,percent_save,68,8
Bobby Bones,27,1,percent_save,69,8
Bobby Bones,27,1,percent_save,70,8
Bobby Bones,27,1,percent_save,71,8
Bobby Bones,27,1,percent_save,72,7
Bobby Bones,27,1,percent_save,73,7
Bobby Bones,27,1,percent_save,74,7
Bobby Bones,27,1,percent_save,75,8
Bobby Bones,27,1,percent_save,76,8
Bobby Bones,27,1,percent_save,77,9
Bobby Bones,27,1,percent_save,78,9
Bobby Bones,27,1,percent_save,79,8
Bobby Bones,27,1,percent_save,80,7
Bobby Bones,27,1,percent_save,81,8
Bobby Bones,27,1,percent_save,82,8
Bobby Bones,27,1,percent_save,83,8
Bobby Bones,27,1,percent_save,84,8
Bobby Bones,27,1,percent_save,85,8
Bobby Bones,27,1,percent_save,86,8
Bobby Bones,27,1,percent_save,87,8
Bobby Bones,27,1,percent_save,88,9
Bobby Bones,27,1,percent_save,89,9
Bobby Bones,27,1,percent_save,90,8
Bobby Bones,27,1,percent_save,91,9
Bobby Bones,27,1,percent_save,92,9
Bobby Bones,27,1,percent_save,93,8
Bobby Bones,27,1,percent_save,94,8
Bobby Bones,27,1,percent_save,95,8
Bobby Bones,27,1,percent_save,96,9
Bobby Bones,27,1,percent_save,97,9
Bobby Bones,27,1,percent_save,98,7
Bobby Bones,27,1,percent_save,99,8
Bobby Bones,27,1,rank,0,1
Bobby Bones,27,1,rank,1,2
Bobby Bones,27,1,rank,2,2
Bobby Bones,27,1,rank,3,3
Bobby Bones,27,1,rank,4,1
Bobby Bones,27,1,rank,5,3
Bobby Bones,27,1,rank,6,1
Bobby Bones,27,1,rank,7,1
Bobby Bones,27,1,rank,8,1
Bobby Bones,27,1,rank,9,1
Bobby Bones,27,1,rank,10,1
Bobby Bones,27,1,rank,11,1
Bobby Bones,27,1,rank,12,1
Bobby Bones,27,1,rank,13,1
Bobby Bones,27,1,rank,14,1
Bobby Bones,27,1,rank,15,1
Bobby Bones,27,1,rank,16,1
Bobby Bones,27,1,rank,17,1
