season,rule,rho_J,rho_F
32,rank,0.48665012964982657,0.7524837291622024
32,rank_save,0.6733017983826399,0.6048793391860773
33,percent,0.7203693372755691,0.49894565990814693
33,percent_save,0.7357238575125364,0.5139256536798095
33,rank,0.44494548836298103,0.6946947606985793
33,rank_save,0.5674255932140323,0.6625455349968316
34,percent,0.6886114653691554,0.5042892416377264
34,percent_save,0.737566385670948,0.48015561080316543
34,rank,0.6190544207220379,0.797066427492196
34,rank_save,0.736419100978201,0.7775849407638692
