season,week,p_elim_diff
11,11,0.3005164348435605
12,1,0.5374234053640269
12,2,0.2345857191678271
12,3,0.21702880906618224
12,4,0.18800718652596862
12,5,0.17236529322321417
12,6,0.2810680904501644
12,7,0.5552397902389598
12,8,0.1904704478382923
12,9,0.33142507257479165
12,10,0.606459630443641
13,1,0.7889452980525291
13,2,0.4673449051503777
13,3,0.3142604376785702
13,4,0.3484311677312201
13,5,0.6339225201901386
13,6,0.2649623631824142
13,7,0.0
13,8,0.8100741722413416
13,9,0.17811574449098921
13,10,0.2551151807531553
13,11,0.546889064415306
14,1,0.0
14,2,0.09847463624469716
14,3,0.6205833124066884
14,4,0.521395133202679
14,5,0.4233609875309114
14,6,0.26744535392056507
14,7,0.5662049768110127
14,8,0.6555675941797467
14,9,0.5618376114325453
14,10,0.32716709358399704
15,1,0.8500561032968166
15,2,0.27087065880667516
15,3,0.1577106409083065
15,4,0.38591997209845896
15,5,0.0013334852122258017
15,6,0.691001754299574
15,7,0.656462807384022
15,8,0.5341788704605206
15,9,0.3670587405946114
15,10,0.77594532113481
15,11,0.3966473331401687
16,1,0.44727543282043886
16,2,0.26437073710623216
16,3,0.5682492228390201
16,4,0.09491521310198472
16,5,0.6538439404026434
16,6,0.05705208339707592
16,7,0.30899197761389546
16,8,0.4799363718357774
16,9,0.5398280652765438
17,1,0.5176297095008935
17,2,0.27077279301172497
17,3,0.4159185866486066
17,4,0.42767988545998203
17,5,0.949109040856378
17,6,0.49605520107455503
17,7,0.41408901375746965
17,8,0.6800608390270536
17,9,0.6460397705799432
17,10,0.04259767455490997
17,11,0.2975087282054708
18,1,0.723245961787193
18,2,0.27267555282047795
18,3,0.0
18,4,0.1537360451169653
18,5,0.4508546330342061
18,6,0.3637896503261788
18,7,0.3952539325181866
18,8,0.6533656596267261
18,9,0.2903276200879952
19,1,0.12344884460639266
19,2,0.7859853291549197
19,3,0.26463097635354754
19,4,0.3187119214843212
19,5,0.6668135070205139
19,6,0.1762750936709756
19,7,0.3195275208488773
19,8,0.0
19,9,0.0
20,1,0.6421564064826073
20,2,0.17804565044765666
20,3,0.5088528958326488
20,4,0.5313306082493475
20,5,0.42977520239337835
20,6,0.01008155544717112
20,7,0.0
20,8,0.22135547221967425
20,9,0.30861946613516694
21,1,0.6820391016357443
21,2,0.5000193270296893
21,3,0.26436287892804317
21,4,0.3168818605976053
21,5,0.6623776214859436
21,6,0.5537674306067256
21,7,0.7052633634416917
21,8,0.3269173227522797
21,9,0.07872189337878592
21,10,0.5068564221370835
22,1,0.42625013495647257
22,2,0.2410730234726166
22,3,0.04950159828459495
22,4,0.05119629650771719
22,5,0.28901993610089916
22,6,0.200358568760702
22,7,0.08118378954180695
22,8,0.10328313600262734
22,9,0.1181332736345927
22,10,0.43661273682291213
22,11,0.101459316105281
22,12,0.6263594912804544
23,1,0.28966686746956244
23,2,0.46297034370848894
23,3,0.1632770102186792
23,4,0.09650843223886986
23,5,0.5854688395819024
23,6,0.519415963208957
23,7,0.6034158024016971
23,8,0.3625303596534186
23,9,0.47563680764899324
23,10,0.17346225881967137
23,11,0.23308090038951526
23,12,0.6212120950230198
24,1,0.36229978875386487
24,2,0.17265340293497727
24,3,0.17381603099576703
24,4,0.39831240558281156
24,5,0.3121591383688902
24,6,0.35270544124105996
24,7,0.3603890585261996
24,8,0.8616477048184809
24,9,0.1776892908823987
24,10,0.41143716320878676
24,11,0.17146739349077028
25,1,0.41880089246938484
25,2,0.5197568089592685
25,3,0.09848629698360957
25,4,0.4182056795165911
25,5,0.6373579703000297
25,6,0.3319557440293398
25,7,0.29991992667572237
25,8,0.6122329818389585
25,9,0.8030887423546026
25,10,0.692473308664291
25,11,0.31476952904313227
26,1,0.6421188958619081
26,2,0.15514814402369137
26,3,0.2940558599433617
26,4,0.4683774527756034
26,5,0.1319011547746838
26,6,0.24441968705088737
26,7,0.306061786256509
26,8,0.5758390865831706
26,9,0.2526604717696547
26,10,0.42800820034028914
26,11,0.46122254660745166
27,1,0.14360194097319828
27,2,0.4219608193877502
27,3,0.46338507654900657
27,4,0.8366244371203615
27,5,0.45953556514499205
27,6,0.888042646844513
27,7,0.9202648466366602
27,8,0.7434411926195291
27,9,0.6600506408921267
27,10,0.703934058106766
27,11,0.9033695801322398
28,1,0.26717352869094124
28,2,0.43180308531984474
28,3,0.6080675323571877
28,4,0.3940952263687293
28,5,0.4717752943426467
28,6,0.26556641242524237
28,7,0.5252547277920674
28,8,0.29529317190310644
28,9,0.46784388501308827
28,10,0.044281897882732235
28,11,0.42782591713698614
29,1,0.30715188915867964
29,2,0.2919060117613618
29,3,0.5113877566502107
29,4,0.47525900999571236
29,5,0.40173430873742827
29,6,0.05114853246759471
29,7,0.3935448530491351
29,8,0.7286238745470339
29,9,0.4480128329873443
29,10,0.35044286768415644
29,11,0.6119107188527627
29,12,0.5784080787090911
30,1,0.5514301575017151
30,2,0.5859505578590538
30,3,0.44979735219865336
30,4,0.6879761190166696
30,5,0.5195081686536084
30,6,0.48819039268058195
30,7,0.6080275023868607
30,8,0.690580065961163
30,9,0.31024777204366416
30,10,0.26632268730547837
30,11,0.2906366168329869
31,1,0.27541810105476233
31,2,0.22361503289994672
31,3,0.9160665089090669
31,4,0.5636295820540237
31,5,0.18581874615077515
31,6,0.2619429196666714
31,7,0.7136163512282752
31,8,0.7870375370616534
31,9,0.6753994542168131
31,10,0.5678316819298105
31,11,0.35398279823418977
32,1,0.4310623584429874
32,2,0.4039481772266895
32,3,0.6901791901010957
32,4,0.2214975788914124
32,5,0.6675308652991797
32,6,0.9111351753177067
32,7,0.3134348366563968
32,8,0.2604255833792751
32,9,0.38413942661587996
32,10,0.29866258338308943
33,1,0.13015072229530822
33,2,0.18158618719069303
33,3,0.924916955463905
33,4,0.11759562761702538
33,5,0.5516571188457144
33,6,0.36584216077912957
33,7,0.4640316870265526
33,8,0.5909741710363795
33,9,0.34286221024972996
33,10,0.5302405017022596
33,11,0.2991112767102572
34,1,0.29970912915030967
34,2,0.3927861746421395
34,3,0.7132457580215906
34,4,0.43859906294379086
34,5,0.4502517547517003
34,6,0.1454384752134541
34,7,0.6346301766924406
34,8,0.2047271762082274
34,9,0.6261557684002045
34,10,0.4363544298588883
34,11,0.18848253132996023
34,12,0.6411090797860676
