season,rule,pair_id,celebrity_name,p_win,p_top3,expected_rank,expected_survival_weeks
3,percent_save,8,Willa Ford,0.0,0.0,9.99,1.01
3,rank,8,Willa Ford,0.0,0.0,9.76,1.24
3,rank_save,8,Willa Ford,0.0,0.0,9.84,1.16
3,percent,9,Sara Evans,0.0,0.0,6.7,4.3
3,percent_save,9,Sara Evans,0.0,0.0,6.31,4.69
3,rank,9,Sara Evans,0.0,0.0,6.23,4.77
3,rank_save,9,Sara Evans,0.0,0.0,6.05,4.95
3,percent,10,Jerry Springer,0.0,0.0,6.13,4.69
3,percent_save,10,Jerry Springer,0.0,0.0,5.5,5.2
3,rank,10,Jerry Springer,0.0,0.0,4.87,6.77
3,rank_save,10,Jerry Springer,0.0,0.0,4.37,7.45
4,percent,1,John Ratzenberger,0.84,0.97,1.22,9.97
4,percent_save,1,John Ratzenberger,0.88,1.0,1.12,10.0
4,rank,1,John Ratzenberger,0.81,0.97,1.25,9.97
4,rank_save,1,John Ratzenberger,0.82,1.0,1.18,10.0
4,percent,2,Ian Ziering,0.0,0.0,5.32,7.62
4,percent_save,2,Ian Ziering,0.0,0.0,5.67,7.28
4,rank,2,Ian Ziering,0.0,0.0,4.99,7.91
4,rank_save,2,Ian Ziering,0.0,0.0,5.48,7.51
4,percent,3,Clyde Drexler,0.0,0.0,7.42,4.82
4,percent_save,3,Clyde Drexler,0.0,0.0,7.91,4.28
4,rank,3,Clyde Drexler,0.0,0.0,7.2,5.37
4,rank_save,3,Clyde Drexler,0.0,0.0,7.98,4.36
4,percent,4,Laila Ali,0.0,0.28,3.97,9.02
4,percent_save,4,Laila Ali,0.0,0.05,4.03,8.97
4,rank,4,Laila Ali,0.0,0.15,4.21,8.77
4,rank_save,4,Laila Ali,0.0,0.01,4.08,8.92
4,percent,5,Apolo Anton Ohno,0.16,0.97,2.03,9.97
4,percent_save,5,Apolo Anton Ohno,0.12,0.98,2.05,9.98
4,rank,5,Apolo Anton Ohno,0.19,0.99,2.04,9.98
4,rank_save,5,Apolo Anton Ohno,0.18,1.0,2.05,10.0
4,percent,6,Shandi Finnessey,0.0,0.0,5.82,7.02
4,percent_save,6,Shandi Finnessey,0.0,0.0,5.69,7.18
4,rank,6,Shandi Finnessey,0.0,0.0,6.99,5.56
4,rank_save,6,Shandi Finnessey,0.0,0.0,6.42,6.25
4,percent,7,Paulina Porizkova,0.0,0.78,3.1,9.7
4,percent_save,7,Paulina Porizkova,0.0,0.97,2.93,9.91
4,rank,7,Paulina Porizkova,0.0,0.89,2.98,9.78
4,rank_save,7,Paulina Porizkova,0.0,0.99,2.79,9.98
4,percent,8,Heather Mills,0.0,0.0,7.55,4.45
4,percent_save,8,Heather Mills,0.0,0.0,7.23,4.77
4,rank,8,Heather Mills,0.0,0.0,7.16,4.84
4,rank_save,8,Heather Mills,0.0,0.0,7.01,4.99
4,percent,9,Billy Ray Cyrus,0.0,0.0,8.57,3.43
4,percent_save,9,Billy Ray Cyrus,0.0,0.0,8.37,3.63
4,rank,9,Billy Ray Cyrus,0.0,0.0,8.18,3.82
4,rank_save,9,Billy Ray Cyrus,0.0,0.0,8.01,3.99
5,percent,1,Cameron Mathison,0.0,0.0,6.47,2.53
5,percent_save,1,Cameron Mathison,0.0,0.0,6.06,2.94
5,rank,1,Cameron Mathison,0.0,0.0,6.02,2.98
5,rank_save,1,Cameron Mathison,0.0,0.0,6.0,3.0
5,percent,2,Jane Seymour,0.0,0.0,5.0,4.0
5,percent_save,2,Jane Seymour,0.0,0.0,4.34,4.66
5,rank,2,Jane Seymour,0.0,0.0,4.82,4.18
5,rank_save,2,Jane Seymour,0.0,0.0,4.21,4.79
5,percent,3,Sabrina Bryan,0.1,0.95,2.14,8.48
5,percent_save,3,Sabrina Bryan,0.99,0.99,1.03,9.95
5,rank,3,Sabrina Bryan,0.11,0.96,2.11,8.57
5,rank_save,3,Sabrina Bryan,0.98,0.98,1.06,9.9
5,percent,4,Jennie Garth,0.0,0.0,7.87,1.13
5,percent_save,4,Jennie Garth,0.0,0.0,7.94,1.06
5,rank,4,Jennie Garth,0.0,0.0,7.87,1.13
5,rank_save,4,Jennie Garth,0.0,0.0,7.97,1.03
5,percent,5,Floyd Mayweather Jr. ,0.9,0.98,1.15,9.79
5,percent_save,5,Floyd Mayweather Jr. ,0.01,0.99,2.17,8.49
5,rank,5,Floyd Mayweather Jr. ,0.89,1.0,1.11,9.89
5,rank_save,5,Floyd Mayweather Jr. ,0.02,0.98,2.79,6.65
5,percent,6,Josie Maran,0.0,0.21,4.14,4.86
5,percent_save,6,Josie Maran,0.0,0.02,4.91,4.09
5,rank,6,Josie Maran,0.0,0.13,4.64,4.36
5,rank_save,6,Josie Maran,0.0,0.04,4.95,4.05
5,percent,7,Albert Reed,0.0,0.86,2.95,6.49
5,percent_save,7,Albert Reed,0.0,1.0,2.82,6.54
5,rank,7,Albert Reed,0.0,0.91,2.93,6.39
5,rank_save,7,Albert Reed,0.0,1.0,2.2,8.4
5,percent,8,Helio Castroneves,0.0,0.0,6.28,2.72
5,percent_save,8,Helio Castroneves,0.0,0.0,6.73,2.27
5,rank,8,Helio Castroneves,0.0,0.0,6.5,2.5
5,rank_save,8,Helio Castroneves,0.0,0.0,6.82,2.18
6,percent,1,Cristian de la Fuente,0.0,0.0,7.89,4.11
6,percent_save,1,Cristian de la Fuente,0.0,0.0,7.99,4.01
6,rank,1,Cristian de la Fuente,0.0,0.0,7.67,4.33
6,rank_save,1,Cristian de la Fuente,0.0,0.0,7.98,4.02
6,percent,2,Steve Guttenberg,0.13,0.89,2.26,9.61
6,percent_save,2,Steve Guttenberg,0.1,0.85,2.2,9.7
6,rank,2,Steve Guttenberg,0.11,0.91,2.24,9.65
6,rank_save,2,Steve Guttenberg,0.15,0.91,2.05,9.8
6,percent,3,Priscilla Presley,0.87,0.99,1.16,9.97
6,percent_save,3,Priscilla Presley,0.9,1.0,1.1,10.0
6,rank,3,Priscilla Presley,0.89,1.0,1.11,10.0
6,rank_save,3,Priscilla Presley,0.85,1.0,1.15,10.0
6,percent,4,Marlee Matlin,0.0,0.43,3.96,8.04
6,percent_save,4,Marlee Matlin,0.0,0.74,3.53,8.47
6,rank,4,Marlee Matlin,0.0,0.61,3.78,8.22
6,rank_save,4,Marlee Matlin,0.0,0.65,3.7,8.3
6,percent,5,Shannon Elizabeth,0.0,0.69,3.1,8.9
6,percent_save,5,Shannon Elizabeth,0.0,0.41,3.46,8.54
6,rank,5,Shannon Elizabeth,0.0,0.48,3.65,8.35
6,rank_save,5,Shannon Elizabeth,0.0,0.44,3.62,8.38
6,percent,6,Marissa Jaret Winokur,0.0,0.0,5.95,6.05
6,percent_save,6,Marissa Jaret Winokur,0.0,0.0,6.07,5.93
6,rank,6,Marissa Jaret Winokur,0.0,0.0,5.84,6.16
6,rank_save,6,Marissa Jaret Winokur,0.0,0.0,6.09,5.91
6,percent,7,Jason Taylor,0.0,0.0,9.49,2.51
6,percent_save,7,Jason Taylor,0.0,0.0,9.1,2.9
6,rank,7,Jason Taylor,0.0,0.0,9.55,2.45
6,rank_save,7,Jason Taylor,0.0,0.0,9.07,2.93
6,percent,8,Kristi Yamaguchi,0.0,0.0,7.01,4.99
6,percent_save,8,Kristi Yamaguchi,0.0,0.0,6.96,5.04
6,rank,8,Kristi Yamaguchi,0.0,0.0,7.16,4.84
6,rank_save,8,Kristi Yamaguchi,0.0,0.0,6.87,5.13
6,percent,9,Monica Seles,0.0,0.0,4.97,7.03
6,percent_save,9,Monica Seles,0.0,0.0,4.79,7.21
6,rank,9,Monica Seles,0.0,0.0,4.88,7.12
6,rank_save,9,Monica Seles,0.0,0.0,4.61,7.39
6,percent,10,Penn Jillette,0.0,0.0,9.21,2.79
6,percent_save,10,Penn Jillette,0.0,0.0,9.8,2.2
6,rank,10,Penn Jillette,0.0,0.0,9.12,2.88
6,rank_save,10,Penn Jillette,0.0,0.0,9.86,2.14
7,percent,1,Ted McGinley,0.85,0.98,1.2,9.98
7,percent_save,1,Ted McGinley,0.86,0.98,1.23,9.98
7,rank,1,Ted McGinley,0.86,1.0,1.16,10.0
7,rank_save,1,Ted McGinley,0.78,1.0,1.25,10.0
7,percent,2,Cloris Leachman,0.0,0.0,7.0,5.93
7,percent_save,2,Cloris Leachman,0.0,0.0,7.34,5.56
7,rank,2,Cloris Leachman,0.0,0.0,7.38,5.56
7,rank_save,2,Cloris Leachman,0.0,0.0,7.84,5.04
7,percent,3,Susan Lucci,0.0,0.18,4.4,8.59
7,percent_save,3,Susan Lucci,0.0,0.09,4.63,8.35
7,rank,3,Susan Lucci,0.0,0.18,4.0,9.0
7,rank_save,3,Susan Lucci,0.0,0.21,4.92,8.08
7,percent,4,Cody Linley,0.0,0.0,12.88,1.05
7,percent_save,4,Cody Linley,0.0,0.0,12.85,1.04
7,rank,4,Cody Linley,0.0,0.0,12.77,1.07
7,rank_save,4,Cody Linley,0.0,0.0,12.83,1.05
7,percent,5,Misty May-Treanor,0.0,0.0,10.97,1.91
7,percent_save,5,Misty May-Treanor,0.0,0.0,10.88,1.93
7,rank,5,Misty May-Treanor,0.0,0.0,10.94,1.86
7,rank_save,5,Misty May-Treanor,0.0,0.0,10.9,1.89
7,percent,6,Maurice Greene,0.02,0.89,2.94,9.8
7,percent_save,6,Maurice Greene,0.01,0.99,2.78,9.95
7,rank,6,Maurice Greene,0.0,0.87,3.29,9.52
7,rank_save,6,Maurice Greene,0.0,0.89,3.36,9.39
7,percent,7,Warren Sapp,0.0,0.0,5.04,7.92
7,percent_save,7,Warren Sapp,0.0,0.0,4.89,8.1
7,rank,7,Warren Sapp,0.0,0.0,5.42,7.52
7,rank_save,7,Warren Sapp,0.0,0.0,4.78,8.15
7,percent,8,Jeffrey Ross,0.0,0.0,9.77,2.77
7,percent_save,8,Jeffrey Ross,0.0,0.0,9.76,2.9
7,rank,8,Jeffrey Ross,0.0,0.0,9.02,3.96
7,rank_save,8,Jeffrey Ross,0.0,0.0,9.02,3.96
7,percent,9,Toni Braxton,0.0,0.0,9.06,3.71
7,percent_save,9,Toni Braxton,0.0,0.0,9.26,3.44
7,rank,9,Toni Braxton,0.0,0.0,9.66,2.8
7,rank_save,9,Toni Braxton,0.0,0.0,9.64,2.85
7,percent,10,Lance Bass,0.0,0.0,5.92,7.08
7,percent_save,10,Lance Bass,0.0,0.0,5.84,7.16
7,rank,10,Lance Bass,0.0,0.0,6.14,6.86
7,rank_save,10,Lance Bass,0.0,0.0,5.24,7.76
7,percent,11,Kim Kardashian,0.0,0.0,11.7,1.33
7,percent_save,11,Kim Kardashian,0.0,0.0,11.78,1.31
7,rank,11,Kim Kardashian,0.0,0.0,11.7,1.35
7,rank_save,11,Kim Kardashian,0.0,0.0,11.76,1.31
7,percent,12,Rocco DiSpirito,0.0,0.0,7.96,5.01
7,percent_save,12,Rocco DiSpirito,0.0,0.0,7.54,5.44
7,rank,12,Rocco DiSpirito,0.0,0.0,7.38,5.62
7,rank_save,12,Rocco DiSpirito,0.0,0.0,7.18,5.82
7,percent,13,Brooke Burke,0.13,0.95,2.16,9.92
7,percent_save,13,Brooke Burke,0.13,0.94,2.22,9.84
7,rank,13,Brooke Burke,0.14,0.95,2.14,9.88
7,rank_save,13,Brooke Burke,0.22,0.9,2.28,9.7
8,percent,1,Gilles Marini,0.0,0.0,10.68,2.32
8,percent_save,1,Gilles Marini,0.0,0.0,10.44,2.56
8,rank,1,Gilles Marini,0.0,0.0,10.55,2.45
8,rank_save,1,Gilles Marini,0.0,0.0,10.18,2.82
8,percent,2,Denise Richards,0.0,0.0,4.99,7.93
8,percent_save,2,Denise Richards,0.0,0.0,4.83,8.13
8,rank,2,Denise Richards,0.0,0.0,5.25,7.64
8,rank_save,2,Denise Richards,0.0,0.0,4.26,8.71
8,percent,3,David Alan Grier,0.0,0.0,7.17,5.37
8,percent_save,3,David Alan Grier,0.0,0.0,8.2,4.58
8,rank,3,David Alan Grier,0.0,0.0,7.5,5.26
8,rank_save,3,David Alan Grier,0.0,0.0,9.14,3.8
8,percent,4,Lawrence Taylor,0.0,0.0,9.57,3.43
8,percent_save,4,Lawrence Taylor,0.0,0.0,9.19,3.81
8,rank,4,Lawrence Taylor,0.0,0.0,9.45,3.55
8,rank_save,4,Lawrence Taylor,0.0,0.0,9.13,3.87
8,percent,5,Ty Murray,0.0,0.0,8.78,3.79
8,percent_save,5,Ty Murray,0.0,0.0,8.43,3.88
8,rank,5,Ty Murray,0.0,0.0,8.8,3.91
8,rank_save,5,Ty Murray,0.0,0.0,8.13,4.08
8,percent,6,Shawn Johnson,0.0,0.0,6.21,6.49
8,percent_save,6,Shawn Johnson,0.0,0.0,6.28,6.37
8,rank,6,Shawn Johnson,0.0,0.0,6.6,5.98
8,rank_save,6,Shawn Johnson,0.0,0.0,6.31,6.42
8,percent,7,Steve Wozniak,0.0,0.27,3.98,9.02
8,percent_save,7,Steve Wozniak,0.0,0.85,3.27,9.73
8,rank,7,Steve Wozniak,0.0,0.26,3.84,9.16
8,rank_save,7,Steve Wozniak,0.0,0.96,3.12,9.88
8,percent,8,Belinda Carlisle,0.1,0.99,2.04,10.86
8,percent_save,8,Belinda Carlisle,0.13,0.82,2.42,10.45
8,rank,8,Belinda Carlisle,0.16,0.95,2.3,10.53
8,rank_save,8,Belinda Carlisle,0.14,0.28,4.02,8.84
8,percent,9,Chuck Wicks,0.9,0.97,1.19,10.91
8,percent_save,9,Chuck Wicks,0.87,1.0,1.13,11.0
8,rank,9,Chuck Wicks,0.84,1.0,1.16,11.0
8,rank_save,9,Chuck Wicks,0.86,1.0,1.14,11.0
8,percent,10,Lil' Kim,0.0,0.0,8.21,4.07
8,percent_save,10,Lil' Kim,0.0,0.0,8.25,4.05
8,rank,10,Lil' Kim,0.0,0.0,7.57,4.51
8,rank_save,10,Lil' Kim,0.0,0.0,7.86,4.34
8,percent,11,Steve-O,0.0,0.77,3.18,9.81
8,percent_save,11,Steve-O,0.0,0.33,3.56,9.44
8,rank,11,Steve-O,0.0,0.79,2.98,10.01
8,rank_save,11,Steve-O,0.0,0.76,2.71,10.24
9,percent,1,Ashley Hamiliton,0.0,0.74,3.12,8.16
9,percent_save,1,Ashley Hamiliton,0.0,0.84,3.07,8.2
9,rank,1,Ashley Hamiliton,0.0,0.95,2.88,8.6
9,rank_save,1,Ashley Hamiliton,0.01,0.99,2.82,8.42
9,percent,2,Debi Mazar,0.0,0.0,13.11,1.18
9,percent_save,2,Debi Mazar,0.0,0.0,12.99,1.3
9,rank,2,Debi Mazar,0.0,0.0,13.24,1.13
9,rank_save,2,Debi Mazar,0.0,0.0,13.31,1.08
9,percent,3,Melissa Joan Hart,0.0,0.0,9.15,3.99
9,percent_save,3,Melissa Joan Hart,0.0,0.0,8.8,4.25
9,rank,3,Melissa Joan Hart,0.0,0.0,8.97,4.05
9,rank_save,3,Melissa Joan Hart,0.0,0.0,8.57,4.48
9,percent,4,Mark Dacascos,0.0,0.0,10.45,3.08
9,percent_save,4,Mark Dacascos,0.0,0.0,10.66,2.92
9,rank,4,Mark Dacascos,0.0,0.0,10.5,3.03
9,rank_save,4,Mark Dacascos,0.0,0.0,10.44,3.09
9,percent,5,Chuck Liddell,0.85,0.99,1.26,9.82
9,percent_save,5,Chuck Liddell,0.92,0.98,1.15,9.92
9,rank,5,Chuck Liddell,0.81,0.98,1.3,9.83
9,rank_save,5,Chuck Liddell,0.83,0.99,1.31,9.76
9,percent,6,Natalie Coughlin,0.0,0.0,11.98,2.11
9,percent_save,6,Natalie Coughlin,0.0,0.0,11.9,2.11
9,rank,6,Natalie Coughlin,0.0,0.0,11.85,2.15
9,rank_save,6,Natalie Coughlin,0.0,0.0,11.89,2.11
9,percent,7,Louie Vito,0.0,0.0,6.25,6.01
9,percent_save,7,Louie Vito,0.0,0.0,6.59,5.77
9,rank,7,Louie Vito,0.0,0.0,5.93,6.26
9,rank_save,7,Louie Vito,0.0,0.0,7.12,5.4
9,percent,8,Michael Irvin,0.0,0.0,13.43,1.16
9,percent_save,8,Michael Irvin,0.0,0.0,13.5,1.14
9,rank,8,Michael Irvin,0.0,0.0,13.59,1.04
9,rank_save,8,Michael Irvin,0.0,0.0,13.55,1.05
9,percent,9,Joanna Krupa,0.0,0.12,4.55,6.98
9,percent_save,9,Joanna Krupa,0.0,0.17,4.19,7.16
9,rank,9,Joanna Krupa,0.0,0.14,4.3,7.01
9,rank_save,9,Joanna Krupa,0.0,0.05,4.43,6.94
9,percent,10,Kathy Ireland,0.0,0.0,6.82,5.81
9,percent_save,10,Kathy Ireland,0.0,0.0,6.72,5.8
9,rank,10,Kathy Ireland,0.0,0.0,6.88,5.79
9,rank_save,10,Kathy Ireland,0.0,0.0,6.2,5.97
9,percent,11,Tom DeLay,0.0,0.29,4.71,6.85
9,percent_save,11,Tom DeLay,0.0,0.19,5.21,6.5
9,rank,11,Tom DeLay,0.0,0.09,5.27,6.49
9,rank_save,11,Tom DeLay,0.0,0.1,5.69,6.26
9,percent,12,Macy Gray,0.15,0.86,2.18,9.54
9,percent_save,12,Macy Gray,0.08,0.82,2.33,9.45
9,rank,12,Macy Gray,0.19,0.84,2.32,9.2
9,rank_save,12,Macy Gray,0.16,0.87,2.1,9.61
9,percent,13,Aaron Carter,0.0,0.0,7.83,5.21
9,percent_save,13,Aaron Carter,0.0,0.0,7.47,5.53
9,rank,13,Aaron Carter,0.0,0.0,7.57,5.43
9,rank_save,13,Aaron Carter,0.0,0.0,7.19,5.81
9,percent,14,Mya,0.0,0.0,10.16,3.1
9,percent_save,14,Mya,0.0,0.0,10.42,2.95
9,rank,14,Mya,0.0,0.0,10.4,2.99
9,rank_save,14,Mya,0.0,0.0,10.38,3.02
10,percent,1,Aiden Turner,0.0,0.0,8.35,2.9
10,percent_save,1,Aiden Turner,0.0,0.0,8.61,2.58
10,rank,1,Aiden Turner,0.0,0.0,7.91,3.63
10,rank_save,1,Aiden Turner,0.0,0.0,8.54,2.68
10,percent,2,Shannen Doherty,0.0,0.28,4.24,8.63
10,percent_save,2,Shannen Doherty,0.0,0.08,4.16,8.78
10,rank,2,Shannen Doherty,0.0,0.3,4.45,8.34
10,rank_save,2,Shannen Doherty,0.0,0.0,4.31,8.58
10,percent,3,Niecy Nash,0.03,0.79,2.98,9.76
10,percent_save,3,Niecy Nash,0.0,0.92,2.96,9.92
10,rank,3,Niecy Nash,0.01,0.72,3.12,9.67
10,rank_save,3,Niecy Nash,0.03,1.0,2.75,10.0
10,percent,4,Buzz Aldrin,0.13,0.95,2.12,9.92
10,percent_save,4,Buzz Aldrin,0.15,1.0,1.93,10.0
10,rank,4,Buzz Aldrin,0.07,0.98,2.16,9.92
10,rank_save,4,Buzz Aldrin,0.02,1.0,2.18,10.0
10,percent,5,Chad Ochocinco,0.0,0.0,5.78,6.51
10,percent_save,5,Chad Ochocinco,0.0,0.0,5.85,6.3
10,rank,5,Chad Ochocinco,0.0,0.0,5.76,6.55
10,rank_save,5,Chad Ochocinco,0.0,0.0,5.85,6.3
10,percent,6,Evan Lysacek,0.0,0.0,7.06,4.77
10,percent_save,6,Evan Lysacek,0.0,0.0,7.21,4.62
10,rank,6,Evan Lysacek,0.0,0.0,7.54,4.06
10,rank_save,6,Evan Lysacek,0.0,0.0,7.24,4.58
10,percent,7,Pamela Anderson,0.84,0.98,1.23,9.98
10,percent_save,7,Pamela Anderson,0.85,1.0,1.19,10.0
10,rank,7,Pamela Anderson,0.92,1.0,1.1,10.0
10,rank_save,7,Pamela Anderson,0.95,1.0,1.07,10.0
10,percent,8,Nicole Scherzinger,0.0,0.0,5.03,7.74
10,percent_save,8,Nicole Scherzinger,0.0,0.0,5.06,7.83
10,rank,8,Nicole Scherzinger,0.0,0.0,4.87,7.92
10,rank_save,8,Nicole Scherzinger,0.0,0.0,5.04,7.88
10,percent,9,Erin Andrews,0.0,0.0,8.21,2.79
10,percent_save,9,Erin Andrews,0.0,0.0,8.03,2.97
10,rank,9,Erin Andrews,0.0,0.0,8.09,2.91
10,rank_save,9,Erin Andrews,0.0,0.0,8.02,2.98
11,percent,1,David Hasselhoff,0.0,0.0,5.77,6.75
11,percent_save,1,David Hasselhoff,0.0,0.0,5.18,7.72
11,rank,1,David Hasselhoff,0.0,0.0,5.72,6.92
11,rank_save,1,David Hasselhoff,0.0,0.0,5.02,7.97
11,percent,2,Florence Henderson,0.0,0.26,3.89,9.09
11,percent_save,2,Florence Henderson,0.0,0.88,3.12,9.88
11,rank,2,Florence Henderson,0.0,0.17,3.83,9.17
11,rank_save,2,Florence Henderson,0.0,0.95,3.05,9.95
11,percent,3,Kyle Massey,0.01,0.79,3.09,9.66
11,percent_save,3,Kyle Massey,0.0,0.18,4.09,8.64
11,rank,3,Kyle Massey,0.03,0.88,3.04,9.61
11,rank_save,3,Kyle Massey,0.02,0.13,4.76,7.77
11,percent,4,Jennifer Grey,0.0,0.0,10.63,1.37
11,percent_save,4,Jennifer Grey,0.0,0.0,10.59,1.41
11,rank,4,Jennifer Grey,0.0,0.0,10.53,1.47
11,rank_save,4,Jennifer Grey,0.0,0.0,10.74,1.26
11,percent,5,Rick Fox,0.0,0.0,6.96,5.04
11,percent_save,5,Rick Fox,0.0,0.0,6.75,5.25
11,rank,5,Rick Fox,0.0,0.0,6.79,5.21
11,rank_save,5,Rick Fox,0.0,0.0,6.56,5.44
11,percent,6,Kurt Warner,0.89,1.0,1.11,10.0
11,percent_save,6,Kurt Warner,0.86,1.0,1.14,10.0
11,rank,6,Kurt Warner,0.71,0.99,1.35,9.96
11,rank_save,6,Kurt Warner,0.88,0.99,1.16,9.96
11,percent,7,Margaret Cho,0.0,0.0,5.42,7.1
11,percent_save,7,Margaret Cho,0.0,0.0,5.59,6.7
11,rank,7,Margaret Cho,0.0,0.0,5.59,6.86
11,rank_save,7,Margaret Cho,0.0,0.0,5.24,7.18
11,percent,8,Michael Bolton,0.1,0.95,2.18,9.94
11,percent_save,8,Michael Bolton,0.14,0.94,2.24,9.7
11,rank,8,Michael Bolton,0.26,0.96,2.05,9.9
11,rank_save,8,Michael Bolton,0.1,0.93,2.29,9.65
11,percent,9,Brandy,0.0,0.0,9.08,2.92
